technique_id,name,description,tactics_str,platforms,entity_count,group_count,software_count,frequency_category,total_score,all_entities,groups,software,detection_available,detection_notes,NIDS_Classification,NIDS_Reasoning,Network_Artifact
T1218.003,CMSTP,Adversaries may abuse CMSTP to proxy execution of malicious code. The Microsoft Connection Manager Profile Installer (CMSTP.exe) is a command-line program used to install Connection Manager service profiles. (Citation: Microsoft Connection Manager Oct 2009) CMSTP.exe accepts an installation informat...,defense-evasion,Windows,1,1,0,Rare,49.0,Cobalt Group,Cobalt Group,,False,,NO,CMSTP local execution,
T1027.009,Embedded Payloads,"Adversaries may embed payloads within other files to conceal malicious content from defenses. Otherwise seemingly benign files (such as scripts and executables) may be abused to carry and obfuscate malicious payloads and content. In some cases, embedded payloads may also enable adversaries to [Subve...",defense-evasion,"Linux, macOS, Windows",1,1,0,Rare,49.0,Lazarus Group,Lazarus Group,,False,,NO,Embedded payloads in local files,
T1070.003,Clear Command History,"In addition to clearing system logs, an adversary may clear the command history of a compromised account to conceal the actions undertaken during an intrusion. Various command interpreters keep track of the commands users type in their terminal so that users can retrace what they've done.

On Linux ...",defense-evasion,"ESXi, Linux, macOS, Network Devices, Windows",1,1,0,Rare,49.0,Lazarus Group,Lazarus Group,,False,,NO,Clearing command history locally,
T1222.001,Windows File and Directory Permissions Modification,Adversaries may modify file or directory permissions/attributes to evade access control lists (ACLs) and access protected files.(Citation: Hybrid Analysis Icacls1 June 2018)(Citation: Hybrid Analysis Icacls2 May 2018) File and directory permissions are commonly managed by ACLs configured by the file...,defense-evasion,Windows,1,1,0,Rare,49.0,Wizard Spider,Wizard Spider,,False,,NO,File permission changes locally,
T1480.002,Mutual Exclusion,"Adversaries may constrain execution or actions based on the presence of a mutex associated with malware. A mutex is a locking mechanism used to synchronize access to a resource. Only one thread or process can acquire a mutex at a given time.(Citation: Microsoft Mutexes)

While local mutexes only exi...",defense-evasion,"Linux, macOS, Windows",1,1,0,Rare,49.0,APT38,APT38,,False,,NO,Mutex checking in local memory,
T1012,Query Registry,"Adversaries may interact with the Windows Registry to gather information about the system, configuration, and installed software.

The Registry contains a significant amount of information about the operating system, configuration, software, and security.(Citation: Wikipedia Windows Registry) Inform...",discovery,Windows,4,2,2,Common,46.8,"Carbanak, Carberp, Indrik Spider, Lazarus Group","Indrik Spider, Lazarus Group","Carbanak, Carberp",False,,NO,Registry queries are local,
T1083,File and Directory Discovery,Adversaries may enumerate files and directories or may search in specific locations of a host or network share for certain information within a file system. Adversaries may use the information from [File and Directory Discovery](https://attack.mitre.org/techniques/T1083) during automated discovery t...,discovery,"ESXi, Linux, macOS, Network Devices, Windows",4,2,2,Common,46.8,"APT38, Lazarus Group, QakBot, TrickBot","APT38, Lazarus Group","QakBot, TrickBot",False,,NO,File and directory discovery locally,
T1135,Network Share Discovery,Adversaries may look for folders and drives shared on remote systems as a means of identifying sources of information to gather as a precursor for Collection and to identify potential systems of interest for Lateral Movement. Networks often contain shared network drives and folders that enable users...,discovery,"Linux, macOS, Windows",4,2,2,Common,46.8,"APT38, QakBot, TrickBot, Wizard Spider","APT38, Wizard Spider","QakBot, TrickBot",False,,PARTIAL,Network share discovery,"SMB/CIFS queries, NetBIOS enumeration traffic"
T1074.001,Local Data Staging,Adversaries may stage collected data in a central location or directory on the local system prior to Exfiltration. Data may be kept in separate files or combined into one file through techniques such as [Archive Collected Data](https://attack.mitre.org/techniques/T1560). Interactive command shells m...,collection,"ESXi, Linux, macOS, Windows",5,3,2,Common,46.4,"Dyre, Indrik Spider, Lazarus Group, QakBot, Wizard Spider","Indrik Spider, Lazarus Group, Wizard Spider","Dyre, QakBot",False,,NO,Local data staging in filesystem,
T1542.003,Bootkit,"Adversaries may use bootkits to persist on systems. A bootkit is a malware variant that modifies the boot sectors of a hard drive, allowing malicious code to execute before a computer's operating system has loaded. Bootkits reside at a layer below the operating system and may make it difficult to pe...","persistence, defense-evasion","Linux, Windows",3,1,2,Medium,45.2,"Carberp, Lazarus Group, TrickBot",Lazarus Group,"Carberp, TrickBot",False,,NO,Bootkit modifies local boot sectors,
T1036,Masquerading,"Adversaries may attempt to manipulate features of their artifacts to make them appear legitimate or benign to users and/or security tools. Masquerading occurs when the name or location of an object, legitimate or malicious, is manipulated or abused for the sake of evading defenses and observation. T...",defense-evasion,"Containers, ESXi, Linux, macOS, Windows",1,0,1,Rare,45.0,TrickBot,,TrickBot,False,,NO,Masquerading is local file operation,
T1014,Rootkit,"Adversaries may use rootkits to hide the presence of programs, files, network connections, services, drivers, and other system components. Rootkits are programs that hide the existence of malware by intercepting/hooking and modifying operating system API calls that supply system information. (Citati...",defense-evasion,"Linux, macOS, Windows",1,0,1,Rare,45.0,Carberp,,Carberp,False,,NO,Primarily local host-based operations,
T1027.011,Fileless Storage,"Adversaries may store data in ""fileless"" formats to conceal malicious activity from defenses. Fileless storage can be broadly defined as any format other than a file. Common examples of non-volatile fileless storage in Windows systems include the Windows Registry, event logs, or WMI repository.(Cita...",defense-evasion,"Windows, Linux",1,0,1,Rare,45.0,QakBot,,QakBot,False,,NO,Primarily local host-based operations,
T1036.008,Masquerade File Type,"Adversaries may masquerade malicious payloads as legitimate files through changes to the payload's formatting, including the file’s signature, extension, icon, and contents. Various file types have a typical standard format, including how they are encoded and organized. For example, a file’s signatu...",defense-evasion,"Linux, macOS, Windows",1,0,1,Rare,45.0,QakBot,,QakBot,False,,NO,Primarily local host-based operations,
T1027.006,HTML Smuggling,Adversaries may smuggle data and files past content filters by hiding malicious payloads inside of seemingly benign HTML files. HTML documents can store large binary objects known as JavaScript Blobs (immutable data that represents raw bytes) that can later be constructed into file-like objects. Dat...,defense-evasion,"Windows, Linux, macOS",1,0,1,Rare,45.0,QakBot,,QakBot,False,,NO,Primarily local host-based operations,
T1564.003,Hidden Window,"Adversaries may use hidden windows to conceal malicious activity from the plain sight of users. In some cases, windows that would typically be displayed when an application carries out an operation can be hidden. This may be utilized by system administrators to avoid disrupting user work environment...",defense-evasion,"Linux, macOS, Windows",1,0,1,Rare,45.0,TrickBot,,TrickBot,False,,NO,Primarily local host-based operations,
T1027.005,Indicator Removal from Tools,"Adversaries may remove indicators from tools if they believe their malicious tool was detected, quarantined, or otherwise curtailed. They can modify the tool by removing the indicator and using the updated version that is no longer detected by the target's defensive systems or subsequent targets tha...",defense-evasion,"Linux, macOS, Windows",1,0,1,Rare,45.0,QakBot,,QakBot,False,,NO,Primarily local host-based operations,
T1027.001,Binary Padding,"Adversaries may use binary padding to add junk data and change the on-disk representation of malware. This can be done without affecting the functionality or behavior of a binary, but can increase the size of the binary beyond what some security tools are capable of handling due to file size limitat...",defense-evasion,"Linux, Windows, macOS",1,0,1,Rare,45.0,QakBot,,QakBot,False,,NO,Primarily local host-based operations,
T1078.002,Domain Accounts,"Adversaries may obtain and abuse credentials of a domain account as a means of gaining Initial Access, Persistence, Privilege Escalation, or Defense Evasion.(Citation: TechNet Credential Theft) Domain accounts are those managed by Active Directory Domain Services where access and permissions are con...","defense-evasion, persistence, privilege-escalation, initial-access","ESXi, Linux, macOS, Windows",3,3,0,Medium,44.8,"Indrik Spider, TA505, Wizard Spider","Indrik Spider, TA505, Wizard Spider",,False,,NO,Primarily local host-based operations,
T1555.003,Credentials from Web Browsers,Adversaries may acquire credentials from web browsers by reading files specific to the target browser.(Citation: Talos Olympic Destroyer 2018) Web browsers commonly save credentials such as website usernames and passwords so that they do not need to be entered manually in the future. Web browsers ty...,credential-access,"Linux, macOS, Windows",5,2,3,Common,44.8,"Carberp, Malteiro, QakBot, TA505, TrickBot","Malteiro, TA505","Carberp, QakBot, TrickBot",False,,NO,Primarily local host-based operations,
T1548.002,Bypass User Account Control,"Adversaries may bypass UAC mechanisms to elevate process privileges on system. Windows User Account Control (UAC) allows a program to elevate its privileges (tracked as integrity levels ranging from low to high) to perform a task under administrator-level permissions, possibly by prompting the user ...","privilege-escalation, defense-evasion",Windows,2,2,0,Medium,44.6,"APT38, Cobalt Group","APT38, Cobalt Group",,False,,NO,Primarily local host-based operations,
T1573.001,Symmetric Cryptography,Adversaries may employ a known symmetric encryption algorithm to conceal command and control traffic rather than relying on any inherent protections provided by a communication protocol. Symmetric encryption algorithms use the same key for plaintext encryption and ciphertext decryption. Common symme...,command-and-control,"ESXi, Linux, macOS, Network Devices, Windows",5,1,4,Common,41.4,"Carbanak, Dridex, Lazarus Group, QakBot, TrickBot",Lazarus Group,"Carbanak, Dridex, QakBot, TrickBot",False,,PARTIAL,May involve network communication based on implementation,Protocol-specific traffic if network variant used
T1047,Windows Management Instrumentation,Adversaries may abuse Windows Management Instrumentation (WMI) to execute malicious commands and payloads. WMI is designed for programmers and is the infrastructure for management data and operations on Windows systems.(Citation: WMI 1-3) WMI is an administration feature that provides a uniform envi...,execution,Windows,4,3,1,Common,41.4,"Indrik Spider, Lazarus Group, QakBot, Wizard Spider","Indrik Spider, Lazarus Group, Wizard Spider",QakBot,False,,NO,Primarily local host-based operations,
T1574.001,DLL,"Adversaries may abuse dynamic-link library files (DLLs) in order to achieve persistence, escalate privileges, and evade defenses. DLLs are libraries that contain code and data that can be simultaneously utilized by multiple programs. While DLLs are not malicious by nature, they can be abused through...","persistence, privilege-escalation, defense-evasion",Windows,3,1,2,Medium,40.87,"Dridex, Lazarus Group, QakBot",Lazarus Group,"Dridex, QakBot",False,,NO,Primarily local host-based operations,
T1041,Exfiltration Over C2 Channel,Adversaries may steal data by exfiltrating it over an existing command and control channel. Stolen data is encoded into the normal communications channel using the same protocol as command and control communications.,exfiltration,"ESXi, Linux, macOS, Windows",6,2,4,High-Priority,40.4,"Carberp, Dyre, Lazarus Group, QakBot, TrickBot, Wizard Spider","Lazarus Group, Wizard Spider","Carberp, Dyre, QakBot, TrickBot",False,,YES,Data exfiltration over C2 channel,"Encrypted outbound traffic, large data volumes"
T1090.002,External Proxy,"Adversaries may use an external proxy to act as an intermediary for network communications to a command and control server to avoid direct connections to their infrastructure. Many tools exist that enable traffic redirection through proxies or port redirection, including [HTRAN](https://attack.mitre...",command-and-control,"ESXi, Linux, Network Devices, Windows, macOS",4,2,2,Common,40.4,"Lazarus Group, QakBot, Silence, TrickBot","Lazarus Group, Silence","QakBot, TrickBot",False,,PARTIAL,May involve network communication based on implementation,Protocol-specific traffic if network variant used
T1219,Remote Access Tools,"An adversary may use legitimate remote access tools to establish an interactive command and control channel within a network. Remote access tools create a session between two trusted hosts through a graphical interface, a command line interaction, a protocol tunnel via development or management soft...",command-and-control,"Linux, macOS, Windows",4,2,3,Common,40.4,"Carbanak, Cobalt Group, Dridex, TrickBot","Carbanak, Cobalt Group","Carbanak, Dridex, TrickBot",False,,YES,Remote access software usage,"TeamViewer, VNC, AnyDesk network traffic"
T1497.003,Time Based Checks,"Adversaries may employ various time-based methods to detect virtualization and analysis environments, particularly those that attempt to manipulate time mechanisms to simulate longer elapses of time. This may include enumerating time-based properties, such as uptime or the system clock. 

Adversarie...","defense-evasion, discovery","Linux, macOS, Windows",2,0,2,Medium,39.4,"QakBot, TrickBot",,"QakBot, TrickBot",False,,NO,Primarily local host-based operations,
T1497.001,System Checks,"Adversaries may employ various system checks to detect and avoid virtualization and analysis environments. This may include changing behaviors based on the results of checks for the presence of artifacts indicative of a virtual machine environment (VME) or sandbox. If the adversary detects a VME, th...","defense-evasion, discovery","Linux, macOS, Windows",2,0,2,Medium,39.4,"Dyre, QakBot",,"Dyre, QakBot",False,,NO,Primarily local host-based operations,
T1003.001,LSASS Memory,"Adversaries may attempt to access credential material stored in the process memory of the Local Security Authority Subsystem Service (LSASS). After a user logs on, the system generates and stores a variety of credential materials in LSASS process memory. These credential materials can be harvested b...",credential-access,Windows,3,3,0,Medium,38.8,"Indrik Spider, Silence, Wizard Spider","Indrik Spider, Silence, Wizard Spider",,False,,NO,Primarily local host-based operations,
T1056.001,Keylogging,"Adversaries may log user keystrokes to intercept credentials as the user types them. Keylogging is likely to be used to acquire credentials for new access opportunities when [OS Credential Dumping](https://attack.mitre.org/techniques/T1003) efforts are not effective, and may require an adversary to ...","collection, credential-access","Linux, macOS, Network Devices, Windows",4,2,2,Common,38.6,"APT38, Carbanak, Lazarus Group, QakBot","APT38, Lazarus Group","Carbanak, QakBot",False,,PARTIAL,May involve network communication based on implementation,Protocol-specific traffic if network variant used
T1007,System Service Discovery,"Adversaries may try to gather information about registered local system services. Adversaries may obtain information about services using tools as well as OS utility commands such as <code>sc query</code>, <code>tasklist /svc</code>, <code>systemctl --type=service</code>, and <code>net start</code>....",discovery,"Linux, macOS, Windows",3,1,2,Medium,37.8,"Dyre, Indrik Spider, TrickBot",Indrik Spider,"Dyre, TrickBot",False,,NO,Primarily local host-based operations,
T1046,Network Service Discovery,"Adversaries may attempt to get a listing of services running on remote hosts and local network infrastructure devices, including those that may be vulnerable to remote software exploitation. Common methods to acquire this information include port, vulnerability, and/or wordlist scans using tools tha...",discovery,"Containers, IaaS, Linux, macOS, Network Devices, Windows",2,2,0,Medium,36.8,"Cobalt Group, Lazarus Group","Cobalt Group, Lazarus Group",,False,,YES,Network port and service scanning,"SYN scans, service probes, port sweep traffic"
T1055.012,Process Hollowing,"Adversaries may inject malicious code into suspended and hollowed processes in order to evade process-based defenses. Process hollowing is a method of executing arbitrary code in the address space of a separate live process.  

Process hollowing is commonly performed by creating a process in a suspe...","defense-evasion, privilege-escalation",Windows,2,0,2,Medium,36.6,"QakBot, TrickBot",,"QakBot, TrickBot",False,,NO,Primarily local host-based operations,
T1132.001,Standard Encoding,Adversaries may encode data with a standard data encoding system to make the content of command and control traffic more difficult to detect. Command and control (C2) information can be encoded using a standard data encoding system that adheres to existing protocol specifications. Common data encodi...,command-and-control,"ESXi, Linux, Windows, macOS",4,1,3,Common,36.4,"Carbanak, Lazarus Group, QakBot, TrickBot",Lazarus Group,"Carbanak, QakBot, TrickBot",False,,PARTIAL,May involve network communication based on implementation,Protocol-specific traffic if network variant used
T1569.002,Service Execution,Adversaries may abuse the Windows service control manager to execute malicious commands or payloads. The Windows service control manager (<code>services.exe</code>) is an interface to manage and manipulate services.(Citation: Microsoft Service Control Manager) The service control manager is accessib...,execution,Windows,3,3,0,Medium,36.4,"APT38, Silence, Wizard Spider","APT38, Silence, Wizard Spider",,False,,NO,Primarily local host-based operations,
T1203,Exploitation for Client Execution,Adversaries may exploit software vulnerabilities in client applications to execute code. Vulnerabilities can exist in software due to unsecure coding practices that can lead to unanticipated behavior. Adversaries can take advantage of certain vulnerabilities through targeted exploitation for the pur...,execution,"Linux, macOS, Windows",3,3,0,Medium,36.4,"Andariel, Cobalt Group, Lazarus Group","Andariel, Cobalt Group, Lazarus Group",,False,,NO,Primarily local host-based operations,
T1134.002,Create Process with Token,Adversaries may create a new process with an existing token to escalate privileges and bypass access controls. Processes can be created with the token and resulting security context of another user using features such as <code>CreateProcessWithTokenW</code> and <code>runas</code>.(Citation: Microsof...,"defense-evasion, privilege-escalation",Windows,1,1,0,Rare,35.6,Lazarus Group,Lazarus Group,,False,,NO,Primarily local host-based operations,
T1484.001,Group Policy Modification,"Adversaries may modify Group Policy Objects (GPOs) to subvert the intended discretionary access controls for a domain, usually with the intention of escalating privileges on the domain. Group policy allows for centralized management of user and computer settings in Active Directory (AD). GPOs are co...","defense-evasion, privilege-escalation",Windows,1,1,0,Rare,35.6,Indrik Spider,Indrik Spider,,False,,NO,Primarily local host-based operations,
T1136.001,Local Account,"Adversaries may create a local account to maintain access to victim systems. Local accounts are those configured by an organization for use by users, remote support, services, or for administration on a single system or service. 

For example, with a sufficient level of access, the Windows <code>net...",persistence,"Linux, macOS, Windows, Network Devices, Containers, ESXi",3,2,1,Medium,35.4,"Carbanak, Indrik Spider, Wizard Spider","Indrik Spider, Wizard Spider",Carbanak,False,,NO,Primarily local host-based operations,
T1571,Non-Standard Port,"Adversaries may communicate using a protocol and port pairing that are typically not associated. For example, HTTPS over port 8088(Citation: Symantec Elfin Mar 2019) or port 587(Citation: Fortinet Agent Tesla April 2018) as opposed to the traditional port 443. Adversaries may make changes to the sta...",command-and-control,"ESXi, Linux, macOS, Windows",3,2,1,Medium,35.4,"Lazarus Group, Silence, TrickBot","Lazarus Group, Silence",TrickBot,False,,YES,Non-standard ports for C2,"Known protocols on unusual ports, custom protocols"
T1489,Service Stop,Adversaries may stop or disable services on a system to render those services unavailable to legitimate users. Stopping critical services or processes can inhibit or stop response to an incident or aid in the adversary's overall objectives to cause damage to the environment.(Citation: Talos Olympic ...,impact,"ESXi, IaaS, Linux, macOS, Windows",3,3,0,Medium,35.2,"Indrik Spider, Lazarus Group, Wizard Spider","Indrik Spider, Lazarus Group, Wizard Spider",,False,,NO,Primarily local host-based operations,
T1197,BITS Jobs,"Adversaries may abuse BITS jobs to persistently execute code and perform various background tasks. Windows Background Intelligent Transfer Service (BITS) is a low-bandwidth, asynchronous file transfer mechanism exposed through [Component Object Model](https://attack.mitre.org/techniques/T1559/001) (...","defense-evasion, persistence",Windows,1,1,0,Rare,35.2,Wizard Spider,Wizard Spider,,False,,NO,Primarily local host-based operations,
T1486,Data Encrypted for Impact,Adversaries may encrypt data on target systems or on large numbers of systems in a network to interrupt availability to system and network resources. They can attempt to render stored data inaccessible by encrypting files or data on local and remote drives and withholding access to a decryption key....,impact,"ESXi, IaaS, Linux, macOS, Windows",3,3,0,Medium,35.2,"APT38, Indrik Spider, TA505","APT38, Indrik Spider, TA505",,False,,NO,Primarily local host-based operations,
T1552.001,Credentials In Files,"Adversaries may search local file systems and remote file shares for files containing insecurely stored credentials. These can be files created by users to store their own credentials, shared credential stores for a group of individuals, configuration files containing passwords for a system or servi...",credential-access,"Containers, IaaS, Linux, macOS, Windows",3,2,1,Medium,34.8,"Indrik Spider, TA505, TrickBot","Indrik Spider, TA505",TrickBot,False,,NO,Primarily local host-based operations,
T1585.002,Email Accounts,"Adversaries may create email accounts that can be used during targeting. Adversaries can use accounts created with email providers to further their operations, such as leveraging them to conduct [Phishing for Information](https://attack.mitre.org/techniques/T1598) or [Phishing](https://attack.mitre....",resource-development,PRE,3,3,0,Medium,34.6,"Indrik Spider, Lazarus Group, Wizard Spider","Indrik Spider, Lazarus Group, Wizard Spider",,False,,PARTIAL,May involve network communication based on implementation,Protocol-specific traffic if network variant used
T1583.001,Domains,"Adversaries may acquire domains that can be used during targeting. Domain names are the human readable names used to represent one or more IP addresses. They can be purchased or, in some cases, acquired for free.

Adversaries may use acquired domains for a variety of purposes, including for [Phishin...",resource-development,PRE,3,3,0,Medium,34.6,"APT38, Lazarus Group, TA505","APT38, Lazarus Group, TA505",,False,,NO,Primarily local host-based operations,
T1497,Virtualization/Sandbox Evasion,"Adversaries may employ various means to detect and avoid virtualization and analysis environments. This may include changing behaviors based on the results of checks for the presence of artifacts indicative of a virtual machine environment (VME) or sandbox. If the adversary detects a VME, they may a...","defense-evasion, discovery","Linux, macOS, Windows",1,0,1,Rare,34.4,Carberp,,Carberp,False,,NO,Primarily local host-based operations,
T1021.004,SSH,"Adversaries may use [Valid Accounts](https://attack.mitre.org/techniques/T1078) to log into remote machines using Secure Shell (SSH). The adversary may then perform actions as the logged-on user.

SSH is a protocol that allows authorized users to open remote shells on other computers. Many Linux and...",lateral-movement,"ESXi, Linux, macOS",3,3,0,Medium,33.8,"GCMAN, Indrik Spider, Lazarus Group","GCMAN, Indrik Spider, Lazarus Group",,False,,YES,SSH remote access,"SSH traffic on port 22, encrypted sessions"
T1518,Software Discovery,"Adversaries may attempt to get a listing of software and software versions that are installed on a system or in a cloud environment. Adversaries may use the information from [Software Discovery](https://attack.mitre.org/techniques/T1518) during automated discovery to shape follow-on behaviors, inclu...",discovery,"ESXi, IaaS, Linux, macOS, Windows",3,0,3,Medium,33.8,"Dridex, Dyre, QakBot",,"Dridex, Dyre, QakBot",False,,PARTIAL,May involve network communication based on implementation,Protocol-specific traffic if network variant used
T1087.003,Email Account,"Adversaries may attempt to get a listing of email addresses and accounts. Adversaries may try to dump Exchange address lists such as global address lists (GALs).(Citation: Microsoft Exchange Address Lists)

In on-premises Exchange and Exchange Online, the <code>Get-GlobalAddressList</code> PowerShel...",discovery,"Windows, Office Suite",2,1,1,Medium,32.8,"TA505, TrickBot",TA505,TrickBot,False,,NO,Primarily local host-based operations,
T1010,Application Window Discovery,"Adversaries may attempt to get a listing of open application windows. Window listings could convey information about how the system is used.(Citation: Prevailion DarkWatchman 2021) For example, information about application windows could be used identify potential data to collect as well as identify...",discovery,"Linux, Windows, macOS",2,1,1,Medium,32.8,"Lazarus Group, QakBot",Lazarus Group,QakBot,False,,NO,Primarily local host-based operations,
T1069,Permission Groups Discovery,"Adversaries may attempt to discover group and permission settings. This information can help adversaries determine which user accounts and groups are available, the membership of users in particular groups, and which users and groups have elevated permissions.

Adversaries may attempt to discover gr...",discovery,"Containers, IaaS, Identity Provider, Linux, macOS, Office Suite, SaaS, Windows",2,1,1,Medium,32.8,"TA505, TrickBot",TA505,TrickBot,False,,NO,Primarily local host-based operations,
T1124,System Time Discovery,"An adversary may gather the system time and/or time zone settings from a local or remote system. The system time is set and stored by services, such as the Windows Time Service on Windows or <code>systemsetup</code> on macOS.(Citation: MSDN System Time)(Citation: Technet Windows Time Service)(Citati...",discovery,"ESXi, Linux, macOS, Network Devices, Windows",2,1,1,Medium,32.8,"Lazarus Group, QakBot",Lazarus Group,QakBot,False,,NO,Primarily local host-based operations,
T1189,Drive-by Compromise,"Adversaries may gain access to a system through a user visiting a website over the normal course of browsing. Multiple ways of delivering exploit code to a browser exist (i.e., [Drive-by Target](https://attack.mitre.org/techniques/T1608/004)), including:

* A legitimate website is compromised, allow...",initial-access,"Identity Provider, Linux, macOS, Windows",3,3,0,Medium,32.6,"APT38, Andariel, Lazarus Group","APT38, Andariel, Lazarus Group",,False,,PARTIAL,May involve network communication based on implementation,Protocol-specific traffic if network variant used
T1550.002,Pass the Hash,"Adversaries may “pass the hash” using stolen password hashes to move laterally within an environment, bypassing normal system access controls. Pass the hash (PtH) is a method of authenticating as a user without having access to the user's cleartext password. This method bypasses standard authenticat...","defense-evasion, lateral-movement",Windows,1,1,0,Rare,32.4,Wizard Spider,Wizard Spider,,False,,NO,Primarily local host-based operations,
T1055.002,Portable Executable Injection,"Adversaries may inject portable executables (PE) into processes in order to evade process-based defenses as well as possibly elevate privileges. PE injection is a method of executing arbitrary code in the address space of a separate live process. 

PE injection is commonly performed by copying code ...","defense-evasion, privilege-escalation",Windows,1,0,1,Rare,31.6,Carbanak,,Carbanak,False,,NO,Primarily local host-based operations,
T1055.004,Asynchronous Procedure Call,"Adversaries may inject malicious code into processes via the asynchronous procedure call (APC) queue in order to evade process-based defenses as well as possibly elevate privileges. APC injection is a method of executing arbitrary code in the address space of a separate live process. 

APC injection...","defense-evasion, privilege-escalation",Windows,1,0,1,Rare,31.6,Carberp,,Carberp,False,,NO,Primarily local host-based operations,
T1574.013,KernelCallbackTable,Adversaries may abuse the <code>KernelCallbackTable</code> of a process to hijack its execution flow in order to run their own payloads.(Citation: Lazarus APT January 2022)(Citation: FinFisher exposed ) The <code>KernelCallbackTable</code> can be found in the Process Environment Block (PEB) and is i...,"persistence, privilege-escalation, defense-evasion",Windows,1,1,0,Rare,30.87,Lazarus Group,Lazarus Group,,False,,NO,Primarily local host-based operations,
T1102.002,Bidirectional Communication,"Adversaries may use an existing, legitimate external Web service as a means for sending commands to and receiving output from a compromised system over the Web service channel. Compromised systems may leverage popular websites and social media to host command and control (C2) instructions. Those inf...",command-and-control,"Linux, macOS, Windows, ESXi",2,2,0,Medium,30.4,"Carbanak, Lazarus Group","Carbanak, Lazarus Group",,False,,PARTIAL,May involve network communication based on implementation,Protocol-specific traffic if network variant used
T1558.003,Kerberoasting,Adversaries may abuse a valid Kerberos ticket-granting ticket (TGT) or sniff network traffic to obtain a ticket-granting service (TGS) ticket that may be vulnerable to [Brute Force](https://attack.mitre.org/techniques/T1110).(Citation: Empire InvokeKerberoast Oct 2016)(Citation: AdSecurity Cracking ...,credential-access,Windows,2,2,0,Medium,29.8,"Indrik Spider, Wizard Spider","Indrik Spider, Wizard Spider",,False,,PARTIAL,May involve network communication based on implementation,Protocol-specific traffic if network variant used
T1185,Browser Session Hijacking,"Adversaries may take advantage of security vulnerabilities and inherent functionality in browser software to change content, modify user-behaviors, and intercept information as part of various browser session hijacking techniques.(Citation: Wikipedia Man in the Browser)

A specific example is when a...",collection,Windows,4,0,4,Common,29.4,"Carberp, Dridex, QakBot, TrickBot",,"Carberp, Dridex, QakBot, TrickBot",False,,NO,Primarily local host-based operations,
T1482,Domain Trust Discovery,Adversaries may attempt to gather information on domain trust relationships that may be used to identify lateral movement opportunities in Windows multi-domain/forest environments. Domain trusts provide a mechanism for a domain to allow access to resources based on the authentication procedures of a...,discovery,Windows,2,0,2,Medium,28.8,"QakBot, TrickBot",,"QakBot, TrickBot",False,,PARTIAL,May involve network communication based on implementation,Protocol-specific traffic if network variant used
T1557.001,LLMNR/NBT-NS Poisoning and SMB Relay,"By responding to LLMNR/NBT-NS network traffic, adversaries may spoof an authoritative source for name resolution to force communication with an adversary controlled system. This activity may be used to collect or relay authentication materials. 

Link-Local Multicast Name Resolution (LLMNR) and NetB...","credential-access, collection",Windows,2,2,0,Medium,28.6,"Lazarus Group, Wizard Spider","Lazarus Group, Wizard Spider",,False,,YES,LLMNR/NBT-NS poisoning,"Spoofed LLMNR/NBT-NS responses, name resolution anomalies"
T1113,Screen Capture,Adversaries may attempt to take screen captures of the desktop to gather information over the course of an operation. Screen capturing functionality may be included as a feature of a remote access tool used in post-compromise operations. Taking a screenshot is also typically possible through native ...,collection,"Linux, Windows, macOS",3,1,2,Medium,28.4,"Carbanak, Carberp, Silence",Silence,"Carbanak, Carberp",False,,PARTIAL,May involve network communication based on implementation,Protocol-specific traffic if network variant used
T1518.002,Backup Software Discovery,"Adversaries may attempt to get a listing of backup software or configurations that are installed on a system. Adversaries may use this information to shape follow-on behaviors, such as [Data Destruction](https://attack.mitre.org/techniques/T1485), [Inhibit System Recovery](https://attack.mitre.org/t...",discovery,"Windows, macOS, Linux",1,1,0,Rare,27.8,Wizard Spider,Wizard Spider,,False,,PARTIAL,May involve network communication based on implementation,Protocol-specific traffic if network variant used
T1217,Browser Information Discovery,"Adversaries may enumerate information about browsers to learn more about compromised environments. Data saved by browsers (such as bookmarks, accounts, and browsing history) may reveal a variety of personal information about users (e.g., banking sites, relationships/interests, social media, etc.) as...",discovery,"Linux, macOS, Windows",1,1,0,Rare,27.8,APT38,APT38,,False,,NO,Primarily local host-based operations,
T1614.001,System Language Discovery,"Adversaries may attempt to gather information about the system language of a victim in order to infer the geographical location of that host. This information may be used to shape follow-on behaviors, including whether the adversary infects the target and/or attempts specific actions. This decision ...",discovery,"Linux, macOS, Windows",1,1,0,Rare,27.8,Malteiro,Malteiro,,False,,NO,Primarily local host-based operations,
T1087.002,Domain Account,"Adversaries may attempt to get a listing of domain accounts. This information can help adversaries determine which domain accounts exist to aid in follow-on behavior such as targeting specific accounts which possess particular privileges.

Commands such as <code>net user /domain</code> and <code>net...",discovery,"Linux, macOS, Windows",1,1,0,Rare,27.8,Wizard Spider,Wizard Spider,,False,,NO,Primarily local host-based operations,
T1680,Local Storage Discovery,"Adversaries may enumerate local drives, disks, and/or volumes and their attributes like total or free space and volume serial number. This can be done to prepare for ransomware-related encryption, to perform [Lateral Movement](https://attack.mitre.org/tactics/TA0109), or as a precursor to [Direct Vo...",discovery,"ESXi, IaaS, Linux, macOS, Windows",1,1,0,Rare,27.8,Lazarus Group,Lazarus Group,,False,,PARTIAL,May involve network communication based on implementation,Protocol-specific traffic if network variant used
